arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
e2e,HIV,classification,0.05,5,1645,0,0,roc_auc,test,0.6942360802641998
e2e,HIV,classification,0.05,5,1645,0,1,roc_auc,test,0.6924911643716566
e2e,HIV,classification,0.05,5,1645,0,2,roc_auc,test,0.6921039417524479
e2e,HIV,classification,0.05,5,1645,0,3,roc_auc,test,0.686162343807335
e2e,HIV,classification,0.05,5,1645,0,4,roc_auc,test,0.6876368798161416
e2e,HIV,classification,0.05,5,1645,0,0,roc_auc,train,0.871713729308666
e2e,HIV,classification,0.05,5,1645,0,1,roc_auc,train,0.8397419668938656
e2e,HIV,classification,0.05,5,1645,0,2,roc_auc,train,0.8687341772151899
e2e,HIV,classification,0.05,5,1645,0,3,roc_auc,train,0.8920837390457643
e2e,HIV,classification,0.05,5,1645,0,4,roc_auc,train,0.8472249269717624
e2e,HIV,classification,0.05,5,1645,0,0,nef1,test,0.2857142857142857
e2e,HIV,classification,0.05,5,1645,0,1,nef1,test,0.3333333333333333
e2e,HIV,classification,0.05,5,1645,0,2,nef1,test,0.3571428571428571
e2e,HIV,classification,0.05,5,1645,0,3,nef1,test,0.3095238095238095
e2e,HIV,classification,0.05,5,1645,0,4,nef1,test,0.3095238095238095
e2e,HIV,classification,0.05,5,1645,1,0,roc_auc,test,0.6684138357249079
e2e,HIV,classification,0.05,5,1645,1,1,roc_auc,test,0.6592344386720483
e2e,HIV,classification,0.05,5,1645,1,2,roc_auc,test,0.6792010274435583
e2e,HIV,classification,0.05,5,1645,1,3,roc_auc,test,0.6606886961895749
e2e,HIV,classification,0.05,5,1645,1,4,roc_auc,test,0.6728635160972596
e2e,HIV,classification,0.05,5,1645,1,0,roc_auc,train,0.8939435248296008
e2e,HIV,classification,0.05,5,1645,1,1,roc_auc,train,0.8876338851022396
e2e,HIV,classification,0.05,5,1645,1,2,roc_auc,train,0.8169230769230769
e2e,HIV,classification,0.05,5,1645,1,3,roc_auc,train,0.9099659201557936
e2e,HIV,classification,0.05,5,1645,1,4,roc_auc,train,0.7222005842259007
e2e,HIV,classification,0.05,5,1645,1,0,nef1,test,0.5
e2e,HIV,classification,0.05,5,1645,1,1,nef1,test,0.5
e2e,HIV,classification,0.05,5,1645,1,2,nef1,test,0.4047619047619047
e2e,HIV,classification,0.05,5,1645,1,3,nef1,test,0.5
e2e,HIV,classification,0.05,5,1645,1,4,nef1,test,0.119047619047619
e2e,HIV,classification,0.05,5,1645,2,0,roc_auc,test,0.6950028003630815
e2e,HIV,classification,0.05,5,1645,2,1,roc_auc,test,0.6943210567990884
e2e,HIV,classification,0.05,5,1645,2,2,roc_auc,test,0.706739218602136
e2e,HIV,classification,0.05,5,1645,2,3,roc_auc,test,0.6868933351358659
e2e,HIV,classification,0.05,5,1645,2,4,roc_auc,test,0.6980059483574422
e2e,HIV,classification,0.05,5,1645,2,0,roc_auc,train,0.936607892527288
